State,2,1,5,60,4,6,8,9,11,10,12,64,13,66,19,16,17,18,20,21,22,25,24,23,68,26,27,29,69,28,30,37,38,31,33,34,35,32,36,39,40,41,42,72,70,44,45,46,47,48,49,51,50,53,55,54,56,57
2,225697,-13,-3,0,-208,75,66,12,-5,-1,-133,0,55,0,9,-82,56,-15,71,-2,-25,-11,-21,15,0,121,89,-38,0,20,33,-6,-3,3,-3,3,-43,-206,35,70,-13,-204,-3,0,0,3,-28,-7,-63,-94,-15,-28,1,-344,51,5,1,133
1,13,1501675,-32,0,-29,564,12,65,-27,4,335,0,44,0,23,-11,425,230,80,118,100,111,65,35,0,626,42,26,0,395,3,21,23,30,35,144,8,56,304,283,4,-17,133,0,0,26,8,11,-324,-40,37,-4,22,16,42,77,7,733
5,3,32,887164,0,45,1389,157,19,-27,1,-82,0,55,0,100,17,500,100,202,10,212,33,-32,12,0,214,125,74,0,74,-2,-85,12,78,13,78,32,78,91,80,272,-5,89,0,0,6,-13,17,-223,556,43,-30,2,29,178,-3,16,445
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,208,29,-45,0,1764847,18916,738,518,8,89,653,0,137,0,517,-86,2773,703,270,48,58,821,352,86,0,1607,1149,356,0,55,168,112,187,430,233,1116,798,928,1806,1493,154,229,950,0,0,155,82,122,-49,1127,676,371,89,1534,977,67,161,1079
6,-75,-564,-1389,0,-18916,11703701,-2451,557,-193,1,-3753,0,-2223,0,-73,-3615,1582,-19,-185,-480,-160,2038,24,-32,0,1365,348,-1166,0,-148,-869,-1972,33,-7,179,1757,-1518,-14779,2364,1017,-1055,-8534,976,0,0,124,-510,-105,-1587,-7722,-2268,-879,67,-5832,243,-56,-235,11319
8,-66,-12,-157,0,-738,2451,1590232,116,-25,0,-614,0,-22,0,184,-280,748,234,406,-218,68,341,127,36,0,472,308,-19,0,-8,-176,-65,148,134,88,244,87,-306,412,529,-71,-411,262,0,0,13,-85,29,-127,-43,57,-38,54,-411,322,19,171,1046
9,-12,-65,-19,0,-518,-557,-116,1294962,-139,-61,-4691,0,-644,0,7,-34,-27,-33,-6,-56,-31,58,-217,-288,0,38,27,-48,0,-27,-38,-1069,-15,17,-144,193,-58,-151,3320,-61,-26,-51,-175,0,0,537,-494,-5,-155,-274,19,-753,-265,-136,-46,3,-19,726
11,5,27,27,0,-8,193,25,139,198168,-8,-36,0,69,0,27,16,144,62,37,19,42,352,-3644,23,0,133,74,64,0,20,15,5,7,1,53,192,8,-29,188,149,35,-11,323,0,0,42,-3,20,49,155,11,29,35,44,54,-19,10,1422
10,1,-4,-1,0,-89,-1,0,61,8,304876,-553,0,-96,0,4,-18,-22,15,20,12,11,-5,852,6,0,15,7,12,0,3,-9,-47,7,9,7,901,-18,-15,688,69,10,-17,1300,0,0,21,-47,-4,-34,-47,-15,107,4,-21,-1,17,6,80
12,133,-335,82,0,-653,3753,614,4691,36,553,6171280,0,-1056,0,524,12,5316,2626,586,674,520,8532,3698,908,0,5525,1408,1208,0,152,28,-1397,133,367,1821,12741,36,-54,29592,7174,157,73,7182,0,0,1918,-323,106,-1697,963,112,3026,492,212,1814,423,74,5091
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
