State,2,1,5,60,4,6,8,9,11,10,12,64,13,66,19,16,17,18,20,21,22,25,24,23,68,26,27,29,69,28,30,37,38,31,33,34,35,32,36,39,40,41,42,72,70,44,45,46,47,48,49,51,50,53,55,54,56,57
2,245092,-41,1,0,-41,255,27,9,-27,3,150,0,-39,0,12,-4,9,32,15,-5,-25,30,-13,16,0,130,142,-5,0,35,34,-14,34,45,31,21,-17,-31,61,54,-28,-191,46,0,0,5,73,-6,-31,-141,39,-76,6,-364,82,10,-36,-61
1,41,1632467,-41,0,6,383,-91,65,-63,20,1515,0,306,0,62,-12,245,242,-32,94,-105,9,141,14,0,584,58,41,0,367,11,-40,-2,11,14,115,28,69,198,314,-40,7,68,0,0,10,41,-6,84,-434,34,167,15,-33,70,-10,-23,751
5,-1,41,968501,0,98,642,-53,20,-10,-1,255,0,124,0,12,35,364,108,90,66,-17,-1,19,32,0,237,88,158,0,220,8,13,0,29,27,69,5,87,9,98,-306,4,94,0,0,23,14,8,148,-483,13,32,14,34,117,-21,16,480
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,41,-6,-98,0,2080423,1852,-839,191,-67,15,669,0,-52,0,170,23,1275,455,-34,-61,-101,150,78,103,0,2208,579,158,0,32,-39,-240,28,0,133,427,-558,270,668,1088,-239,-197,515,0,0,48,-84,54,-70,-2198,-161,-31,15,127,652,4,-33,1160
6,-255,-383,-642,0,-1852,12707337,-2653,513,-273,62,2076,0,-592,0,-441,-1280,1761,176,-239,-96,-582,1145,191,166,0,2005,756,-141,0,72,-482,-1171,-37,-329,220,1299,-978,-2059,834,865,-1255,-4168,1151,0,0,172,-307,-196,-937,-8853,-1279,-351,59,-4072,460,25,-395,12880
8,-27,91,53,0,839,2653,1773000,183,-64,28,1178,0,494,0,387,139,1138,338,316,68,13,209,160,116,0,1379,729,335,0,-34,68,209,62,233,127,437,194,453,513,793,-125,1,542,0,0,59,58,52,150,-610,171,439,125,-215,635,23,275,840
9,-9,-65,-20,0,-191,-513,-183,1360079,-165,-22,-1450,0,-342,0,-170,5,-28,11,-16,-23,-47,-1155,-182,-185,0,184,29,-7,0,-22,-5,-961,0,-16,-113,23,-26,-37,1663,55,-34,-50,-87,0,0,-47,-409,-12,-148,-477,-42,-346,-95,-199,-40,-23,-28,1035
11,27,63,10,0,67,273,64,165,215623,16,249,0,218,0,47,13,200,67,29,52,37,346,-704,39,0,209,98,99,0,41,6,146,10,29,39,267,17,11,272,266,38,29,366,0,0,36,71,9,75,116,12,338,50,45,93,-3,6,886
10,-3,-20,1,0,-15,-62,-28,22,-16,333759,-144,0,-103,0,-24,1,-21,7,-12,-5,-31,-17,535,5,0,49,9,-24,0,-18,-5,-135,-5,-1,6,676,-21,0,224,26,16,-18,447,0,0,4,-66,-4,-40,-83,2,-40,4,-4,-13,-4,-2,133
12,-150,-1515,-255,0,-669,-2076,-1178,1450,-249,144,6890522,0,-4958,0,-34,-20,920,609,-143,-627,-1216,506,420,591,0,3165,434,112,0,-392,-79,-4572,-54,-143,504,3241,-311,-189,3745,2342,-615,-406,1253,0,0,689,-1873,-35,-2970,-7225,-153,-927,129,-808,780,-264,-131,3348
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,39,-306,-124,0,52,592,-494,342,-218,103,4958,0,3233717,0,3,-2,779,325,25,-50,-902,67,332,111,0,1726,143,129,0,96,-45,-324,15,-25,102,1107,-75,14,1786,959,-163,-100,727,0,0,87,-420,5,-381,-1834,-18,-119,15,-299,231,-48,-80,33057
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-12,-62,-12,0,-170,441,-387,170,-47,24,34,0,-3,0,1156074,-18,704,145,-108,20,-44,25,-43,-8,0,264,-138,-370,0,35,-15,-75,10,-316,14,174,-39,20,-18,83,-138,-47,108,0,0,15,-5,-223,-39,-515,61,-74,7,0,143,0,-40,1611
16,4,12,-35,0,-23,1280,-139,-5,-13,-1,20,0,2,0,18,520719,41,4,-34,-11,-5,-3,-16,13,0,85,-21,-19,0,-3,8,-32,-32,-29,6,10,-16,204,38,12,-54,-21,22,0,0,5,30,-16,-62,-284,-397,-88,17,-379,28,-5,-115,200
17,-9,-245,-364,0,-1275,-1761,-1138,28,-200,21,-920,0,-779,0,-704,-41,4871119,-1255,0,-224,-258,-9,-172,38,0,2757,36,-1393,0,-268,-44,-741,14,-85,17,52,-230,-289,-415,1134,-280,-330,338,0,0,17,-243,-71,-712,-3341,-135,-247,-20,-701,-1226,-22,-65,7038
18,-32,-242,-108,0,-455,-176,-338,-11,-67,-7,-609,0,-325,0,-145,-4,1255,2442713,-137,-90,-145,-66,-72,-10,0,939,-85,-161,0,-60,-26,-454,0,13,7,11,-72,-24,-69,441,-126,-159,-125,0,0,4,-283,-30,-526,-1594,-21,-198,7,-258,-148,-57,-66,1833
20,-15,32,-90,0,34,239,-316,16,-29,12,143,0,-25,0,108,34,0,137,1039162,-35,1,-19,-52,24,0,246,-13,-230,0,-8,20,-6,71,79,4,-20,-135,100,31,77,-441,-73,91,0,0,-3,-89,17,13,-1196,22,-45,19,-177,64,4,-27,725
21,5,-94,-66,0,61,96,-68,23,-52,5,627,0,50,0,-20,11,224,90,35,1506384,-91,8,17,20,0,789,4,0,0,26,11,-2,0,-1,40,111,24,-18,55,1484,-23,-18,76,0,0,13,-64,4,-350,-471,-5,8,19,6,111,112,-26,740
22,25,105,17,0,101,582,-13,47,-37,31,1216,0,902,0,44,5,258,145,-1,91,1511037,49,108,36,0,412,68,95,0,568,10,207,-44,32,14,110,-2,115,176,202,-131,16,150,0,0,39,106,17,139,-818,38,141,-2,89,72,13,3,970
25,-30,-9,1,0,-150,-1145,-209,1155,-346,17,-506,0,-67,0,-25,3,9,66,19,-8,-49,2526004,-93,144,0,420,132,77,0,8,-7,-609,5,13,-45,630,-56,-45,582,248,-27,-138,222,0,0,940,-345,-22,-136,-635,12,-336,94,-231,107,-13,-4,4160
24,13,-141,-19,0,-78,-191,-160,182,704,-535,-420,0,-332,0,43,16,172,72,52,-17,-108,93,2163741,-24,0,654,71,88,0,19,-8,-1119,19,73,-12,913,-8,-29,650,410,-44,-129,-449,0,0,112,-521,-10,-190,-754,6,-2060,-43,-166,47,-876,-23,1708
23,-16,-14,-32,0,-103,-166,-116,185,-39,-5,-591,0,-111,0,8,-13,-38,10,-24,-20,-36,-144,24,514898,0,27,10,-5,0,-35,19,-298,-7,-15,22,104,-32,-25,-66,-11,-20,-53,42,0,0,60,-105,-16,-69,-255,-30,-109,52,-74,-6,-5,-4,79
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-130,-584,-237,0,-2208,-2005,-1379,-184,-209,-49,-3165,0,-1726,0,-264,-85,-2757,-939,-246,-789,-412,-420,-654,-27,0,3753886,-431,-460,0,-287,-172,-2238,-64,-108,-18,-253,-204,-657,-987,-779,-351,-436,-583,0,0,-28,-966,-101,-1588,-3756,-179,-1368,-23,-1055,-924,-142,-465,6257
27,-142,-58,-88,0,-579,-756,-729,-29,-98,-9,-434,0,-143,0,138,21,-36,85,13,-4,-68,-132,-71,-10,0,431,2071707,-57,0,-51,-205,-173,-627,12,8,7,-90,-62,38,114,-119,-186,7,0,0,8,-57,-371,-81,-1083,-39,-167,12,-488,1054,1,-136,1986
29,5,-41,-158,0,-158,141,-335,7,-99,24,-112,0,-129,0,370,19,1393,161,230,0,-95,-77,-88,5,0,460,57,2198158,0,28,-33,-208,16,96,15,-27,-28,50,-149,214,-384,-179,72,0,0,-11,-112,-16,-23,-1424,-18,322,5,-191,171,-2,-87,1357
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-35,-367,-220,0,-32,-72,34,22,-41,18,392,0,-96,0,-35,3,268,60,8,-26,-568,-8,-19,35,0,287,51,-28,0,983867,-7,-103,4,23,10,30,-49,13,53,94,-93,-35,47,0,0,3,5,2,265,-1038,21,-14,9,-83,77,-9,-18,281
30,-34,-11,-8,0,39,482,-68,5,-6,5,79,0,45,0,15,-8,44,26,-20,-11,-10,7,8,-19,0,172,205,33,0,7,368627,20,-154,15,26,42,-24,63,69,53,-7,-138,54,0,0,7,10,11,-8,-119,-3,13,16,-136,63,-6,-134,106
